Player,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,year,Height,Drafted
Cal Adomitis,LS,Pittsburgh,235,4.97,29.5,18,107,7.53,4.62,01/01/22,74,0
Austin Allen,TE,Nebraska,253,4.83,34,0,121,7,4.26,01/01/22,80,0
Chase Allen,TE,Iowa St.,251,0,33.5,0,117,7.03,4.43,01/01/22,78,0
Christopher Allen,EDGE,Alabama,241,0,0,0,0,0,4.36,01/01/22,76,0
Tyler Allgeier,RB,BYU,224,4.6,33,0,120,0,4.36,01/01/22,71,1
Troy Andersen,LB,Montana St.,243,4.42,36,0,128,0,4.36,01/01/22,76,1
Tycen Anderson,S,Toledo,209,4.36,35.5,0,123,6.64,4.28,01/01/22,74,1
Blaise Andries,OG,Minnesota,308,5.1,30.5,0,106,7.84,4.68,01/01/22,78,0
Matt Araiza,P,San Diego St.,200,4.68,32,0,121,0,4.36,01/01/22,73,1
Jalyn Armour-Davis,CB,Alabama,197,4.39,34.5,14,0,0,4.36,01/01/22,73,1
Brian Asamoah,LB,Oklahoma,226,4.56,36.5,0,124,0,4.36,01/01/22,72,1
Calvin Austin,WR,Memphis,170,4.32,39,0,135,6.65,4.07,01/01/22,68,1
Tyler Badie,RB,Missouri,197,4.45,33.5,0,121,0,4.36,01/01/22,68,1
Kalon Barnes,CB,Baylor,183,4.23,0,0,0,0,4.36,01/01/22,72,1
Amaré Barno,EDGE,Virginia Tech,246,4.36,37,0,131,0,4.45,01/01/22,77,1
Darrian Beavers,LB,Cincinnati,237,0,36.5,0,125,6.91,4.36,01/01/22,76,1
Markquese Bell,S,Florida A&M,212,4.41,36.5,0,123,0,4.46,01/01/22,74,0
David Bell,WR,Purdue,212,4.65,33,0,118,7.14,4.57,01/01/22,73,1
Greg Bell,RB,San Diego St.,201,0,31,17,120,0,4.36,01/01/22,71,0
Daniel Bellinger,TE,San Diego St.,253,4.63,34.5,22,125,7.05,4.47,01/01/22,77,1
Dane Belton,S,Iowa,205,4.43,36.5,0,123,7.01,4.24,01/01/22,73,1
Terrel Bernard,LB,Baylor,224,0,35.5,22,123,7.03,4.25,01/01/22,73,1
Bubba Bolden,S,Miami,209,4.47,0,0,116,0,4.36,01/01/22,74,0
Slade Bolden,WR,Alabama,193,4.66,32,0,116,0,4.36,01/01/22,71,0
Nik Bonitto,EDGE,Oklahoma,248,4.54,35.5,0,120,7.07,4.23,01/01/22,75,1
Thomas Booker,DT,Stanford,301,4.94,0,0,110,7.33,4.41,01/01/22,75,1
Andrew Booth,CB,Clemson,194,0,0,0,0,0,4.36,01/01/22,72,1
Max Borghi,RB,Washington St.,210,0,0,20,0,0,4.36,01/01/22,69,0
Jaquan Brisker,S,Penn St.,199,4.49,34.5,22,124,0,4.36,01/01/22,73,1
Gabe Brkic,K,Oklahoma,197,0,0,0,0,0,4.36,01/01/22,74,0
Kennedy Brooks,RB,Oklahoma,209,4.59,31,0,120,0,4.36,01/01/22,71,0
Ben Brown,C,Mississippi,312,0,0,0,0,0,4.36,01/01/22,77,0
Leddie Brown,RB,West Virginia,213,4.64,30,0,118,0,4.36,01/01/22,72,0
Montaric Brown,CB,Arkansas,196,4.55,0,0,0,0,4.36,01/01/22,72,1
Logan Bruss,OG,Wisconsin,309,5.32,31,0,112,7.57,4.55,01/01/22,77,1
Coby Bryant,CB,Cincinnati,193,4.54,0,17,0,0,4.36,01/01/22,73,1
Spencer Burford,OG,Texas-San Antonio,304,5.19,27.5,0,105,0,4.73,01/01/22,76,1
Treylon Burks,WR,Arkansas,225,4.55,33,0,122,7.28,4.36,01/01/22,74,1
Darien Butler,LB,Arizona St.,221,0,0,0,0,7.47,4.36,01/01/22,70,0
Matthew Butler,DT,Tennessee,297,5,32,17,112,7.89,4.81,01/01/22,76,1
Percy Butler,S,Louisiana,194,4.36,31.5,0,123,0,4.36,01/01/22,72,1
Grant Calcaterra,TE,SMU,241,4.62,0,20,0,0,4.36,01/01/22,76,1
Jake Camarda,P,Georgia,193,4.56,0,0,0,0,4.36,01/01/22,73,1
Chance Campbell,LB,Mississippi,232,4.57,39.5,0,127,0,4.36,01/01/22,74,1
Ja'Tyre Carter,OG,Southern,311,5.13,30,0,108,7.84,4.9,01/01/22,75,1
Zachary Carter,DE,Florida,282,4.99,27.5,19,110,0,4.36,01/01/22,76,1
Tariq Castro-Fields,CB,Penn St.,197,4.38,0,0,0,0,4.36,01/01/22,73,1
Tykevious Chandler,RB,North Carolina,204,4.38,31,0,121,0,4.36,01/01/22,71,1
Leo Chenal,LB,Wisconsin,250,4.53,40.5,0,128,0,4.36,01/01/22,75,1
Lewis Cine,S,Georgia,199,4.37,36.5,0,133,0,4.36,01/01/22,74,1
Damone Clark,LB,LSU,239,4.57,36.5,0,127,7.12,4.36,01/01/22,75,1
Micheal Clemons,DE,Texas A&M,263,0,0,24,116,0,4.36,01/01/22,77,1
Jack Coan,QB,Notre Dame,218,4.9,33,0,115,6.95,4.39,01/01/22,75,0
Qwynnterrio Cole,S,Louisville,206,0,0,16,0,0,4.36,01/01/22,72,0
Snoop Conner,RB,Mississippi,222,4.59,29.5,25,118,0,4.36,01/01/22,70,1
Bryan Cook,S,Cincinnati,206,0,0,0,0,0,4.36,01/01/22,73,1
James Cook,RB,Georgia,199,4.42,33,0,124,0,4.36,01/01/22,71,1
Jashaun Corbin,RB,Florida St.,202,0,0,0,0,0,4.36,01/01/22,71,0
Yusuf Corker,S,Kentucky,203,0,0,23,0,0,4.36,01/01/22,72,0
Matt Corral,QB,Mississippi,212,0,0,0,0,0,4.36,01/01/22,74,1
Charles Cross,OT,Mississippi St.,307,4.95,26,0,112,7.88,4.61,01/01/22,77,1
Nick Cross,S,Maryland,212,4.34,37,0,130,0,4.36,01/01/22,72,1
Dustin Crum,QB,Kent St.,210,4.75,32.5,0,120,0,4.36,01/01/22,73,0
Myron Cunningham,OT,Arkansas,320,5.38,20,0,98,8.5,5.16,01/01/22,77,0
DJ Davidson,DT,Arizona St.,327,0,28,23,0,7.85,4.72,01/01/22,75,1
Jordan Davis,DT,Georgia,341,4.78,32,0,123,0,4.36,01/01/22,78,1
Kalia Davis,DT,Central Florida,302,0,0,0,0,0,4.36,01/01/22,73,1
Tyrion Davis-Price,RB,LSU,211,4.48,30,0,117,0,4.36,01/01/22,72,1
Nakobe Dean,LB,Georgia,229,0,0,0,0,0,4.36,01/01/22,71,1
Dawson Deaton,C,Texas Tech,306,5.12,29,24,108,7.52,4.49,01/01/22,78,1
Austin Deculus,OT,LSU,321,5.08,28.5,0,109,0,4.99,01/01/22,77,1
Cameron Dicker,K,Texas,220,0,0,0,0,0,4.36,01/01/22,73,0
Kellen Diesch,OT,Arizona St.,301,4.89,32.5,0,110,7.77,4.43,01/01/22,79,0
Dai'Jean Dixon,WR,Nicholls St.,205,4.62,34,0,125,7.28,4.42,01/01/22,75,0
JoJo Domann,LB,Nebraska,228,4.62,34.5,0,119,0,4.36,01/01/22,73,0
Jahan Dotson,WR,Penn St.,178,4.43,36,0,121,7.28,4.36,01/01/22,71,1
Romeo Doubs,WR,Nevada,201,0,0,0,0,0,4.36,01/01/22,74,1
Dontario Drummond,WR,Mississippi,215,4.65,34,0,122,0,4.36,01/01/22,73,0
Greg Dulcich,TE,UCLA,243,4.69,34,16,122,7.05,4.37,01/01/22,76,1
William Dunkle,OG,San Diego St.,328,5.44,26,25,95,7.97,4.91,01/01/22,77,0
Cobie Durant,CB,South Carolina St.,180,4.38,0,0,0,0,4.36,01/01/22,70,1
Jerrion Ealy,RB,Mississippi,189,4.52,34.5,0,128,0,4.36,01/01/22,68,0
Arnold Ebiketie,EDGE,Penn St.,250,0,38,21,128,0,4.36,01/01/22,74,1
Trestan Ebner,RB,Baylor,206,4.43,30,0,0,0,4.36,01/01/22,71,1
Ikem Ekwonu,OT,North Carolina St.,310,4.93,29,0,108,7.82,4.73,01/01/22,76,1
Kaiir Elam,CB,Florida,191,4.39,0,0,0,0,4.36,01/01/22,74,1
Kaleb Eleby,QB,Western Michigan,208,0,25.5,0,111,7.57,4.36,01/01/22,73,0
Noah Elliss,DT,Idaho,346,5.66,0,0,0,0,4.36,01/01/22,76,0
Martin Emerson,CB,Mississippi St.,201,4.53,0,0,0,0,4.36,01/01/22,74,1
Kingsley Enagbare,DE,South Carolina,258,4.87,36.5,0,117,0,4.36,01/01/22,76,1
Akayleb Evans,CB,Missouri,197,4.46,36,0,129,0,4.36,01/01/22,74,1
Obinna Eze,OT,TCU,321,5.17,27.5,18,104,8.2,5.08,01/01/22,79,0
Joshua Ezeudu,OG,North Carolina,308,5.19,28.5,0,105,7.83,4.56,01/01/22,76,1
Erik Ezukanma,WR,Texas Tech,209,0,36.5,0,126,0,4.38,01/01/22,74,1
Daniel Faalele,OT,Minnesota,384,0,0,24,0,0,4.36,01/01/22,80,1
Neil Farrell,DT,LSU,330,5.41,21.5,0,0,8.41,4.36,01/01/22,76,1
Jake Ferguson,TE,Wisconsin,250,4.81,31.5,15,118,7.03,4.48,01/01/22,77,1
DaMarcus Fields,CB,Texas Tech,193,4.48,34.5,0,0,0,4.36,01/01/22,72,0
Cordale Flott,CB,LSU,175,0,0,0,0,0,4.36,01/01/22,73,1
Jerome Ford,RB,Cincinnati,210,4.46,31,0,118,0,4.36,01/01/22,71,1
Jonathan Ford,DT,Miami,333,0,29,0,102,0,4.36,01/01/22,77,1
Luke Fortner,C,Kentucky,307,5.21,24,0,102,7.75,4.95,01/01/22,76,1
Ty Fryfogle,WR,Indiana,204,4.53,39,0,127,0,4.36,01/01/22,73,0
Ahmad Gardner,CB,Cincinnati,190,4.41,0,0,0,0,4.36,01/01/22,75,1
Haskell Garrett,DT,Ohio St.,300,5.07,24,0,0,0,4.36,01/01/22,74,0
Jeremiah Gemmel,LB,North Carolina,226,0,0,0,0,0,4.36,01/01/22,73,0
Trenton Gill,P,North Carolina St.,220,0,0,0,0,0,4.36,01/01/22,76,1
Luke Goedeke,OG,Central Michigan,312,0,0,26,0,0,4.36,01/01/22,77,1
Mario Goodrich,CB,Clemson,176,4.52,0,0,0,0,4.36,01/01/22,72,0
Tyler Goodson,RB,Iowa,197,4.42,36.5,0,123,0,4.36,01/01/22,69,0
Kyler Gordon,CB,Washington,194,4.52,0,0,0,0,4.36,01/01/22,72,1
Isaiah Graham-Mobley,LB,Boston Col.,230,4.63,34.5,0,124,0,4.36,01/01/22,73,0
Danny Gray,WR,SMU,186,4.33,34,0,126,0,4.36,01/01/22,72,1
Vincent Gray,CB,Michigan,192,4.54,0,0,0,0,4.36,01/01/22,74,0
Kenyon Green,OG,Texas A&M,323,5.24,26,20,102,0,5.12,01/01/22,76,1
Jeffrey Gunter,EDGE,Coastal Carolina,258,4.7,35.5,0,122,7.21,4.35,01/01/22,76,1
Breece Hall,RB,Iowa St.,217,4.39,40,0,126,0,4.36,01/01/22,71,1
Jeremiah Hall,TE,Oklahoma,239,4.96,29,19,111,7.43,4.62,01/01/22,74,0
Logan Hall,DE,Houston,283,4.88,30,0,0,7.25,4.44,01/01/22,78,1
Kyle Hamilton,S,Notre Dame,220,4.59,38,0,131,6.9,4.32,01/01/22,76,1
Jake Hansen,LB,Illinois,238,0,0,21,0,0,4.36,01/01/22,73,0
Aaron Hansford,LB,Texas A&M,239,0,0,24,0,0,4.36,01/01/22,74,0
Christian Harris,LB,Alabama,226,4.44,34.5,0,132,0,4.36,01/01/22,73,1
Kevin Harris,RB,South Carolina,221,0,38.5,21,126,0,4.36,01/01/22,70,1
Kolby Harvell-Peel,S,Oklahoma St.,213,0,0,21,0,0,4.36,01/01/22,72,0
Hassan Haskins,RB,Michigan,228,0,0,27,0,0,4.36,01/01/22,74,1
Blake Hayes,P,Illinois,226,0,0,0,0,0,4.36,01/01/22,76,0
Marquis Hayes,OG,Oklahoma,318,5.3,23.5,0,102,0,4.36,01/01/22,77,1
Peyton Hendershot,TE,Indiana,250,4.8,32.5,0,117,0,4.25,01/01/22,76,0
Connor Heyward,TE,Michigan St.,233,4.72,32.5,0,0,0,4.36,01/01/22,71,1
Daxton Hill,S,Michigan,191,4.38,33.5,0,121,6.57,4.06,01/01/22,72,1
Chasen Hines,C,LSU,327,5.22,30.5,0,108,0,4.36,01/01/22,75,1
Christopher Hinton,DT,Michigan,305,5.28,31.5,0,106,0,4.36,01/01/22,76,0
Curtis Hodges,TE,Arizona St.,257,4.85,34.5,0,117,7.14,4.28,01/01/22,80,0
Sam Howell,QB,North Carolina,218,0,0,0,0,0,4.36,01/01/22,73,1
Aidan Hutchinson,DE,Michigan,260,4.74,36,0,117,6.73,4.15,01/01/22,79,1
Jermaine Johnson II,DE,Florida St.,254,4.58,32,0,125,0,4.36,01/01/22,77,1
Johnny Johnson III,WR,Oregon,197,4.6,32,0,121,7.21,4.54,01/01/22,72,0
Verone McKinley III,S,Oregon,198,0,35,16,120,0,4.36,01/01/22,70,0
Ed Ingram,OG,LSU,307,5.02,20.5,0,102,7.81,4.76,01/01/22,75,1
Keaontay Ingram,RB,USC,221,4.53,34.5,0,122,0,4.36,01/01/22,72,1
D'Marco Jackson,LB,Appalachian St.,233,4.55,33,0,125,0,4.36,01/01/22,73,1
Drake Jackson,EDGE,USC,254,0,36.5,0,127,0,4.36,01/01/22,75,1
Jordan Jackson,DT,Air Force,294,0,0,0,0,0,4.36,01/01/22,77,1
Joshua Jobe,CB,Alabama,182,0,0,0,0,0,4.36,01/01/22,72,0
Josh Johnson,WR,Tulsa,183,0,0,14,0,0,4.36,01/01/22,71,0
Tyree Johnson,EDGE,Texas A&M,248,0,0,21,0,0,4.36,01/01/22,75,0
Zion Johnson,OG,Boston Col.,312,5.18,32,32,112,7.38,4.46,01/01/22,75,1
Braxton Jones,OT,Southern Utah St.,310,4.97,25.5,0,108,0,4.84,01/01/22,77,1
Jack Jones,CB,Arizona St.,171,4.51,0,0,0,0,4.36,01/01/22,71,1
Marcus Jones,CB,Houston,174,0,0,0,0,0,4.36,01/01/22,68,1
Travis Jones,DT,Connecticut,325,4.92,28.5,0,110,7.33,4.58,01/01/22,76,1
Velus Jones,WR,Tennessee,204,4.31,33,0,121,0,4.36,01/01/22,72,1
Kerby Joseph,S,Illinois,203,0,38.5,18,123,0,4.36,01/01/22,73,1
Kevin Austin Jr.,WR,Notre Dame,200,4.43,39,0,132,6.71,4.15,01/01/22,74,0
Reggie Roberson Jr.,WR,SMU,192,0,29,0,114,0,4.36,01/01/22,71,0
Cameron Jurgens,C,Nebraska,303,4.92,0,25,0,0,4.36,01/01/22,75,1
George Karlaftis,EDGE,Purdue,266,0,38,21,121,0,4.36,01/01/22,76,1
Cole Kelley,QB,Southeastern Louisiana,249,0,0,0,0,0,4.36,01/01/22,79,0
Derion Kendrick,CB,Georgia,194,0,0,0,0,0,4.36,01/01/22,72,1
D'Eriq King,QB,Miami,196,0,0,0,0,0,4.36,01/01/22,69,0
Darian Kinnard,OG,Kentucky,322,5.31,25,0,99,8.11,4.96,01/01/22,77,1
Zonovan Knight,RB,North Carolina St.,209,4.58,31,0,114,0,4.36,01/01/22,71,0
Charlie Kolar,TE,Iowa St.,252,0,0,0,0,0,4.36,01/01/22,79,1
Quentin Lake,S,UCLA,201,4.59,0,0,0,0,4.36,01/01/22,73,1
Nate Landman,LB,Colorado,238,4.86,36.5,0,119,0,4.36,01/01/22,75,0
DeMarvin Leal,DT,Texas A&M,283,5,27.5,0,106,0,4.49,01/01/22,76,1
Isaiah Likely,TE,Coastal Carolina,245,0,36,0,0,0,4.57,01/01/22,77,1
Tyler Linderbaum,C,Iowa,296,0,0,0,0,0,4.36,01/01/22,74,1
Alec Lindstrom,C,Boston Col.,296,5.18,29,25,111,7.5,4.66,01/01/22,75,0
Devin Lloyd,LB,Utah,237,4.66,35,25,126,0,4.36,01/01/22,75,1
Drake London,WR,USC,219,0,0,0,0,0,4.36,01/01/22,76,1
Vederian Lowe,OT,Illinois,314,5.22,25.5,0,99,7.83,4.71,01/01/22,77,1
Abraham Lucas,OT,Washington St.,315,4.92,27,24,107,7.25,4.4,01/01/22,78,1
Chase Lucas,CB,Arizona St.,180,4.48,39,0,128,0,4.36,01/01/22,71,1
Jesse Luketa,LB,Penn St.,253,4.89,37.5,0,114,0,4.36,01/01/22,75,1
Boye Mafe,EDGE,Minnesota,261,4.53,38,0,125,0,4.36,01/01/22,76,1
DeAngelo Malone,EDGE,Western Kentucky,243,0,0,23,0,0,4.36,01/01/22,75,1
Damarri Mathis,CB,Pittsburgh,196,4.39,0,0,0,0,4.36,01/01/22,71,1
Phidarian Mathis,DT,Alabama,310,0,23.5,0,109,0,4.91,01/01/22,76,1
Cade Mays,OG,Tennessee,311,5.24,26,0,102,7.57,4.71,01/01/22,77,1
Trey McBride,TE,Colorado St.,246,0,33,18,117,0,4.36,01/01/22,76,1
Marquan McCall,DT,Kentucky,342,0,0,0,0,0,4.36,01/01/22,75,0
Zakoby McClain,LB,Auburn,228,4.69,33,0,117,0,4.36,01/01/22,71,0
Zyon McCollum,CB,Sam Houston St.,199,4.33,39.5,0,132,6.48,3.94,01/01/22,74,1
Sincere McCormick,RB,Texas-San Antonio,205,4.6,33.5,0,116,0,4.36,01/01/22,69,0
Roger McCreary,CB,Auburn,190,4.5,0,0,0,0,4.36,01/01/22,71,1
Trent McDuffie,CB,Washington,193,4.44,0,0,0,0,4.36,01/01/22,71,1
Micah McFadden,LB,Indiana,240,0,0,21,0,0,4.36,01/01/22,73,1
Marcus McKethan,OG,North Carolina,340,5.31,27.5,27,110,7.81,4.99,01/01/22,79,1
Bo Melton,WR,Rutgers,189,4.34,38,0,121,6.98,4.36,01/01/22,71,1
John Metchie,WR,Alabama,187,0,0,0,0,0,4.36,01/01/22,71,1
James Mitchell,TE,Virginia Tech,249,0,0,0,0,0,4.36,01/01/22,76,1
Max Mitchell,OT,Louisiana,307,5.32,25,0,106,8.09,4.65,01/01/22,78,1
Smoke Monday,S,Auburn,207,4.52,0,0,124,7,4.36,01/01/22,74,0
Jeremiah Moon,LB,Florida,249,4.76,40.5,0,133,7.09,4.55,01/01/22,77,0
Skyy Moore,WR,Western Michigan,195,4.41,34.5,0,125,7.13,4.32,01/01/22,70,1
Chad Muma,LB,Wyoming,239,4.63,40,27,129,7.06,4.28,01/01/22,75,1
Thayer Munford,OT,Ohio St.,328,5.39,22,0,104,0,4.36,01/01/22,78,1
Jalen Nailor,WR,Michigan St.,186,4.5,38,0,128,7.03,4.28,01/01/22,71,1
Evan Neal,OT,Alabama,337,0,0,0,0,0,4.36,01/01/22,80,1
Leon O'Neal,S,Texas A&M,204,0,35,15,125,6.89,4.36,01/01/22,73,0
Otito Ogbonnia,DT,UCLA,324,0,0,29,0,0,4.36,01/01/22,76,1
David Ojabo,EDGE,Michigan,250,4.55,35,0,122,0,4.45,01/01/22,76,1
Chigoziem Okonkwo,TE,Maryland,238,4.52,35.5,0,0,0,4.36,01/01/22,75,1
Chris Olave,WR,Ohio St.,187,4.39,32,0,124,0,4.36,01/01/22,72,1
Esezi Otomewo,DE,Minnesota,282,0,0,0,0,0,4.36,01/01/22,77,1
Cade Otton,TE,Washington,247,0,0,0,0,0,4.36,01/01/22,77,1
Isiah Pacheco,RB,Rutgers,216,4.37,33,0,118,0,4.36,01/01/22,70,1
Dylan Parham,OG,Memphis,311,4.93,26.5,0,108,7.78,4.7,01/01/22,75,1
Joshua Paschal,DE,Kentucky,268,4.77,37.5,0,123,0,4.36,01/01/22,75,1
Chris Paul,OG,Tulsa,323,4.89,27,0,109,7.74,4.83,01/01/22,76,1
Jayden Peevy,DT,Texas A&M,308,5.3,27,0,100,0,4.36,01/01/22,77,0
Trevor Penning,OT,Northern Iowa,325,4.89,28,0,111,7.25,4.62,01/01/22,79,1
EJ Perry,QB,Brown,211,4.65,34.5,0,123,6.85,4.18,01/01/22,74,0
Nicholas Petit-Frere,OT,Ohio St.,316,5.14,24.5,0,103,0,4.36,01/01/22,77,1
Kyle Philips,WR,UCLA,189,4.58,33.5,0,124,0,4.36,01/01/22,71,1
George Pickens,WR,Georgia,195,4.47,33,0,125,0,4.36,01/01/22,75,1
Kenny Pickett,QB,Pittsburgh,217,4.73,33.5,0,121,0,4.29,01/01/22,75,1
Alec Pierce,WR,Cincinnati,211,4.41,40.5,0,129,7.13,4.28,01/01/22,75,1
Dameon Pierce,RB,Florida,218,4.59,34.5,21,119,0,4.36,01/01/22,70,1
Jalen Pitre,S,Baylor,198,0,35,16,0,6.74,4.18,01/01/22,71,1
Makai Polk,WR,Mississippi St.,195,4.59,31,0,119,0,4.36,01/01/22,75,0
D'vonte Price,RB,Florida International,210,4.38,34,0,119,0,4.36,01/01/22,73,0
Brock Purdy,QB,Iowa St.,212,4.84,27,0,0,7.21,4.45,01/01/22,73,1
Teagan Quitoriano,TE,Oregon St.,258,0,0,22,0,0,4.36,01/01/22,78,1
Bernhard Raimann,OT,Central Michigan,303,5.05,30.5,30,117,7.46,4.49,01/01/22,78,1
Charleston Rambo,WR,Miami,177,4.57,33.5,0,118,0,4.36,01/01/22,73,0
LaBryan Ray,DT,Alabama,283,0,0,0,0,0,4.36,01/01/22,76,0
Sean Rhyan,OG,UCLA,321,5.25,33.5,0,110,7.55,4.81,01/01/22,77,1
Desmond Ridder,QB,Cincinnati,211,4.52,36,0,127,7.15,4.29,01/01/22,75,1
John Ridgeway,DT,Arkansas,321,5.3,0,0,101,0,4.73,01/01/22,77,1
Ronnie Rivers,RB,Fresno St.,195,4.6,36.5,0,119,0,4.36,01/01/22,68,0
Brian Robinson,RB,Alabama,225,4.53,30,0,119,0,4.36,01/01/22,74,1
Dominique Robinson,EDGE,Miami (Ohio),253,4.72,41,25,121,0,4.36,01/01/22,77,1
Tyrese Robinson,OG,Oklahoma,317,5.25,22.5,0,100,8.35,4.94,01/01/22,75,0
Wan'Dale Robinson,WR,Kentucky,178,4.44,34.5,0,118,0,4.36,01/01/22,68,1
Malcolm Rodriguez,LB,Oklahoma St.,232,4.52,39.5,0,120,0,4.36,01/01/22,71,1
Mike Rose,LB,Iowa St.,245,0,34,0,121,0,4.36,01/01/22,76,0
Dare Rosenthal,OT,Kentucky,290,4.88,0,0,0,0,4.36,01/01/22,79,0
Josh Ross,LB,Michigan,227,4.79,31,0,109,0,4.36,01/01/22,72,0
Justyn Ross,WR,Clemson,205,0,0,11,0,0,4.36,01/01/22,76,0
Jeremy Ruckert,TE,Ohio St.,250,0,0,19,0,0,4.36,01/01/22,77,1
Andrew Rupcich,OT,Culver-Stockton College,318,5.31,27.5,0,108,0,4.36,01/01/22,78,0
Jamaree Salyer,OG,Georgia,321,0,0,31,0,0,4.36,01/01/22,75,1
Jack Sanborn,LB,Wisconsin,234,4.73,34.5,20,114,0,4.36,01/01/22,74,0
Braylon Sanders,WR,Mississippi,194,4.48,34.5,0,121,0,4.36,01/01/22,72,0
Myjai Sanders,EDGE,Cincinnati,228,4.67,33,0,120,0,4.37,01/01/22,77,1
Nephi Sewell,LB,Utah,226,4.67,32,0,120,7.01,4.33,01/01/22,72,0
Justin Shaffer,OG,Georgia,314,5.14,25.5,0,107,0,4.36,01/01/22,76,1
Khalil Shakir,WR,Boise St.,196,4.43,34.5,0,124,7.28,4.21,01/01/22,72,1
Abram Smith,RB,Baylor,213,0,0,0,0,0,4.36,01/01/22,72,0
Brandon Smith,LB,Penn St.,250,4.52,37.5,0,128,0,4.36,01/01/22,76,1
Lecitus Smith,OG,Virginia Tech,314,5.18,0,23,99,7.88,4.78,01/01/22,75,1
Tyler Smith,OT,Tulsa,324,5.02,27.5,0,105,7.78,4.65,01/01/22,77,1
Tyreke Smith,EDGE,Ohio St.,254,4.86,34,0,117,0,4.36,01/01/22,75,1
Baylon Spector,LB,Clemson,233,4.6,36,0,122,0,4.36,01/01/22,72,1
Isaiah Spiller,RB,Texas A&M,217,0,30,0,114,0,4.36,01/01/22,72,1
Chris Steele,CB,USC,187,4.48,37.5,0,126,0,4.36,01/01/22,72,0
Derek Stingley,CB,LSU,190,0,0,0,0,0,4.36,01/01/22,72,1
Jordan Stout,P,Penn St.,209,4.65,0,0,0,0,4.36,01/01/22,75,1
Cole Strange,OG,Tennessee-Chattanooga,307,5.03,28,31,120,7.44,4.5,01/01/22,77,1
Carson Strong,QB,Nevada,226,0,0,0,0,0,4.36,01/01/22,75,0
Pierre Strong,RB,South Dakota St.,207,4.37,36,0,124,0,4.36,01/01/22,71,1
Andrew Stueber,OT,Michigan,325,0,24.5,0,101,7.94,4.9,01/01/22,79,1
Myron Tagovailoa-Amosa,DE,Notre Dame,270,4.81,29,0,115,0,4.36,01/01/22,74,0
Alontae Taylor,CB,Tennessee,199,4.36,34.5,0,128,0,4.36,01/01/22,72,1
Cam Taylor-Britt,CB,Nebraska,196,4.38,0,0,0,0,4.36,01/01/22,71,1
Isaac Taylor-Stuart,CB,USC,201,4.42,0,0,123,0,4.36,01/01/22,74,0
Luke Tenuta,OT,Virginia Tech,319,5.41,26,0,104,0,4.77,01/01/22,80,1
Kayvon Thibodeaux,EDGE,Oregon,254,4.58,0,27,0,0,4.36,01/01/22,76,1
Zach Thomas,OG,San Diego St.,308,4.96,22.5,21,107,7.4,4.65,01/01/22,77,0
Cameron Thomas,DE,San Diego St.,267,0,0,24,0,0,4.36,01/01/22,76,1
Isaiah Thomas,EDGE,Oklahoma,266,4.7,31.5,0,117,0,4.36,01/01/22,77,1
Juanyeh Thomas,S,Georgia Tech,212,4.55,34,17,122,0,4.36,01/01/22,73,0
Josh Thompson,CB,Texas,194,4.4,0,0,0,0,4.36,01/01/22,72,0
Skylar Thompson,QB,Kansas St.,217,4.91,31,0,112,7,4.28,01/01/22,74,1
Tyquan Thornton,WR,Baylor,181,4.28,36.5,0,130,0,4.36,01/01/22,74,1
Channing Tindall,LB,Georgia,230,4.47,42,0,129,0,4.36,01/01/22,74,1
Jalen Tolbert,WR,South Alabama,194,4.49,36,0,123,7.08,4.36,01/01/22,73,1
Zach Tom,C,Wake Forest,304,4.94,33,0,118,7.32,4.47,01/01/22,76,1
Cole Turner,TE,Nevada,246,4.76,27,17,120,7.06,4.41,01/01/22,78,1
Tré Turner,WR,Virginia Tech,184,4.51,27,0,113,7.45,4.53,01/01/22,73,0
Delarrin Turner-Yell,S,Oklahoma,197,4.47,0,0,122,0,4.36,01/01/22,70,1
Eyioma Uwazurike,DT,Iowa St.,316,0,33,0,107,0,4.36,01/01/22,78,1
CJ Verdell,RB,Oregon,194,0,29.5,0,118,0,4.36,01/01/22,68,0
Cordell Volson,OG,North Dakota St.,315,5.27,25,25,104,8.31,4.93,01/01/22,78,1
Matt Waletzko,OT,North Dakota,312,5.03,30,0,113,0,4.36,01/01/22,80,1
Kenneth Walker,RB,Michigan St.,211,4.38,34,0,122,0,4.36,01/01/22,69,1
Quay Walker,LB,Georgia,241,4.52,32,0,122,0,4.36,01/01/22,76,1
Rasheed Walker,OT,Penn St.,313,0,0,0,0,0,4.36,01/01/22,78,1
Travon Walker,DE,Georgia,272,4.51,35.5,0,123,6.89,4.32,01/01/22,77,1
Jermaine Waller,CB,Virginia Tech,180,4.68,0,0,0,0,4.36,01/01/22,72,0
Jaylen Warren,RB,Oklahoma St.,204,4.55,31.5,0,119,0,4.36,01/01/22,68,0
Christian Watson,WR,North Dakota St.,208,4.36,38.5,0,136,0,4.36,01/01/22,76,1
Jaylen Watson,CB,Washington St.,197,4.51,0,18,0,0,4.36,01/01/22,74,1
Luke Wattenberg,C,Washington,299,5.2,29.5,0,113,7.45,4.57,01/01/22,76,1
Sam Webb,CB,Missouri Western,202,4.48,0,14,0,0,4.36,01/01/22,73,0
Dohnovan West,C,Arizona St.,296,5.27,28,0,112,0,4.36,01/01/22,75,0
Isaiah Weston,WR,Northern Iowa,214,4.42,40,20,135,0,4.36,01/01/22,76,0
